"","day","nee","le","h"
"840",2019-06-26,0,6106.19971755386,1804.95383101183
"841",2019-06-27,0,5028.30790041309,1405.70286372202
"842",2019-06-28,0,4691.31529789953,1381.98847269836
"843",2019-06-29,0,5454.50154228915,1671.44672928931
"844",2019-06-30,0,6347.85250061854,2066.32890626508
"845",2019-07-01,0,5272.99524325095,3447.69418198499
"846",2019-07-02,0,3866.94898013848,2531.21567477771
"847",2019-07-03,0,4106.8208757124,2030.91384173608
"848",2019-07-04,0,4913.32434424718,1368.30878054167
"849",2019-07-05,0,4638.6764433332,1244.10672574647
"850",2019-07-06,0,5313.44666742324,998.168590194272
"851",2019-07-07,0,3486.6691328677,658.559855457667
"852",2019-07-08,0,730.224855262208,-82.7869240766152
"853",2019-07-09,0,6548.28487582635,2050.34807045269
"854",2019-07-10,0,6565.46279747143,2016.58905483307
"855",2019-07-11,0,2588.51420034504,-40.8469900661448
"856",2019-07-12,0,0,0
"857",2019-07-13,0,0,0
"858",2019-07-14,0,0,0
"859",2019-07-15,0,0,0
"860",2019-07-16,0,0,0
"861",2019-07-17,0,0,0
"862",2019-07-18,0,0,0
"863",2019-07-19,0,0,0
"864",2019-07-20,0,0,0
"865",2019-07-21,0,0,0
"866",2019-07-22,0,0,0
"867",2019-07-23,0,0,0
"868",2019-07-24,0,0,0
"869",2019-07-25,0,0,0
"870",2019-07-26,0,0,0
"871",2019-07-27,0,0,0
"872",2019-07-28,0,0,0
"873",2019-07-29,0,0,0
"874",2019-07-30,0,0,0
"875",2019-07-31,0,0,0
"876",2019-08-01,0,0,0
"877",2019-08-02,0,0,0
"878",2019-08-03,0,0,0
"879",2019-08-04,0,0,0
"880",2019-08-05,0,0,0
"881",2019-08-06,0,0,0
"882",2019-08-07,0,0,0
"883",2019-08-08,0,0,0
"884",2019-08-09,0,0,0
"885",2019-08-10,0,0,0
"886",2019-08-11,0,0,0
"887",2019-08-12,0,0,0
"888",2019-08-13,0,0,0
"889",2019-08-14,0,0,0
"890",2019-08-15,0,0,0
"891",2019-08-16,0,0,0
"892",2019-08-17,0,0,0
"893",2019-08-18,0,0,0
"894",2019-08-19,0,0,0
"895",2019-08-20,0,0,0
"896",2019-08-21,0,0,0
"897",2019-08-22,0,0,0
"898",2019-08-23,0,0,0
"899",2019-08-24,0,0,0
"900",2019-08-25,0,0,0
"901",2019-08-26,0,0,0
"902",2019-08-28,0,0,0
"903",2019-08-29,0,0,0
"904",2019-08-30,0,0,0
"905",2019-08-31,0,0,0
"906",2019-09-01,0,0,0
"907",2019-09-02,0,0,0
"908",2019-09-03,0,0,0
"909",2019-09-04,0,0,0
"910",2019-09-05,0,0,0
"911",2019-09-06,0,0,0
"912",2019-09-07,0,0,0
"913",2019-09-08,0,0,0
"914",2019-09-09,0,0,0
"915",2019-09-10,0,0,0
"916",2019-09-11,0,0,0
"917",2019-09-12,0,0,0
"918",2019-09-13,0,0,0
"919",2019-09-14,0,0,0
"920",2019-09-15,0,0,0
"921",2019-09-16,0,0,0
"922",2019-09-17,0,0,0
"923",2019-09-18,0,0,0
"924",2019-09-19,0,0,0
"925",2019-09-20,0,0,0
"926",2019-09-21,0,0,0
"927",2019-09-22,0,0,0
"928",2019-09-23,0,0,0
"929",2019-09-24,0,0,0
"930",2019-09-25,0,0,0
"931",2019-09-26,0,0,0
"932",2019-09-27,0,0,0
"933",2019-09-28,0,0,0
"934",2019-09-29,0,0,0
"935",2019-09-30,0,0,0
"936",2019-10-01,0,0,0
"937",2019-10-02,0,0,0
"938",2019-10-03,0,0,0
"939",2019-10-04,0,0,0
"940",2019-10-05,0,0,0
"941",2019-10-06,0,0,0
"942",2019-10-07,0,0,0
"943",2019-10-08,-8.95668207179445,500.430462207159,-41.9329962968308
"944",2019-10-09,8.16400332850771,1391.00940478532,2087.68856372939
"945",2019-10-10,3.88764401223431,15.7733276052743,2484.54230675596
"946",2019-10-11,-22.4076683585068,1144.93498138601,1802.08717102629
"947",2019-10-12,3.20009305014481,16.3540883871624,532.326463276185
"948",2019-10-13,0,0,0
"949",2019-10-14,-73.9531586005733,1834.67745303232,2018.93933122641
"950",2019-10-15,19.6834647995795,1312.77326471209,2218.17522830705
"951",2019-10-16,0,535.990758594736,-1547.13072210633
"952",2019-10-17,-51.8568819894807,2391.43887320199,-1994.8903016837
"953",2019-10-18,-46.1537195358638,2208.76761980744,930.340923463736
"954",2019-10-19,-110.826870897285,1617.61976924733,2249.95985553213
"955",2019-10-20,14.7523683682937,325.952942228918,-292.149537475766
"956",2019-10-21,-13.9779470578551,1272.8711296613,1540.2344143301
"957",2019-10-22,0.0562797460168382,-324.987266304645,-370.319680435374
"958",2019-10-23,-55.9671126115433,2683.26717850006,903.735670428086
"959",2019-10-24,-75.5270166667528,2184.75984613271,1783.42164457338
"960",2019-10-25,-109.968839739814,1161.11107981084,1034.14730410857
"961",2019-10-26,-44.3900737010902,646.35923701116,128.043869965935
"962",2019-10-27,48.1546226260008,760.515871071642,-297.708657670858
"963",2019-10-28,-2.74252374745302,779.475659084136,1156.72544903533
"964",2019-10-29,0,898.953708898236,1526.60144781496
"965",2019-10-30,-6.17998699070798,5.54668391665641,590.43983317206
"966",2019-10-31,98.4113063102027,-1131.30782693962,-1541.91625374318
"967",2019-11-01,43.5404877990778,2375.74799747175,245.914259657907
"968",2019-11-02,-8.39872299800286,925.735317363958,2591.28738556328
"969",2019-11-03,-50.0673168146541,1115.6493989977,1862.91767278737
"970",2019-11-04,-23.9022953068141,1339.56379771862,2092.49836178161
"971",2019-11-05,-9.252749203942,-77.8742631384121,-243.271905228625
"972",2019-11-06,0,0,0
"973",2019-11-07,0,0,-36.3321047224887
"974",2019-11-08,29.9310172792479,1172.29515729628,802.985925172589
"975",2019-11-09,2.66118555877866,614.169160470675,2038.25780880366
"976",2019-11-10,-2.10900012640803,694.00639576603,966.009658032214
"977",2019-11-11,-39.1735285663163,1058.91017066013,1024.87752381094
"978",2019-11-12,50.7283594109719,952.123182941181,-1303.0934925607
"979",2019-11-13,25.4468766838635,441.398514610665,1872.78317368997
"980",2019-11-14,29.6671134807211,458.765058177251,1764.13687379631
"981",2019-11-15,2.42294032563917,264.948497278311,1984.2664474557
"982",2019-11-16,3.6997623528885,333.41669804482,1692.1716619839
"983",2019-11-17,16.0769272243275,385.790198559756,1351.07990903415
"984",2019-11-18,19.1939457366626,-181.081390396469,1027.78123901473
"985",2019-11-19,25.3714419152821,152.501626418659,1112.10528847475
"986",2019-11-20,39.6830584724468,144.149926064823,399.542509897702
"987",2019-11-21,-46.6528050124152,190.111041666854,1288.85856499095
"988",2019-11-22,38.7429185680468,-185.669286546202,-896.967774659737
"989",2019-11-23,-1.15948429801532,48.9429082577978,292.109225371028
"990",2019-11-24,39.8861248991864,650.898938749194,801.11734768843
"991",2019-11-25,-25.4944608695095,349.494320760345,1709.76322673309
"992",2019-11-26,-7.7355308177212,299.085156129954,1642.69411696418
"993",2019-11-27,33.0372238319061,-314.354117507429,974.124791356562
"994",2019-11-28,50.7146684118908,721.879196342713,-1440.25444840976
"995",2019-11-29,1.74328425326285,252.450202387378,987.163262395009
"996",2019-11-30,12.5992169805817,315.740723631899,715.459750300703
"997",2019-12-01,-81.6350326443564,168.978003779202,244.237230662064
"998",2019-12-02,10.3017539994124,226.067873938076,-53.7387833136259
"999",2019-12-03,10.7655626484488,-175.761027303002,75.3566579082635
"1000",2019-12-04,27.0032563821068,542.670447675594,-55.5055323328528
"1001",2019-12-05,37.4540607770841,723.666301107371,-71.2693542050741
"1002",2019-12-06,-6.56709080047469,296.107344831717,78.1305202777781
"1003",2019-12-07,4.6192044428102,231.07274811431,1366.7383365457
"1004",2019-12-08,-33.109619247924,513.508941565923,1552.612382528
"1005",2019-12-09,193.968198562048,-135.248853965783,-818.590828755917
"1006",2019-12-10,-2.64264981846229,-10.5323675008318,-2.17641731551043
"1007",2019-12-11,0,0,0
"1008",2019-12-12,0,0,0
"1009",2019-12-13,0,0,0
"1010",2019-12-14,0,0,0
"1011",2019-12-15,0,0,0
"1012",2019-12-16,0,0,0
"1013",2019-12-17,0,0,0
"1014",2019-12-18,0,0,0
"1015",2019-12-19,0,0,0
"1016",2019-12-20,0,0,0
"1017",2019-12-21,0,0,0
"1018",2019-12-22,0,0,0
"1019",2019-12-23,0,0,0
"1020",2019-12-24,0,0,0
"1021",2019-12-25,0,0,0
"1022",2019-12-26,0,0,0
"1023",2019-12-27,0,0,0
"1024",2019-12-28,0,0,0
"1025",2019-12-29,0,0,0
"1026",2019-12-30,0,0,0
"1027",2019-12-31,0,0,0
"1028",2020-01-01,0,0,0
"1029",2020-01-02,0,0,0
"1030",2020-01-03,0,0,0
"1031",2020-01-04,0,0,0
"1032",2020-01-05,0,0,0
"1033",2020-01-06,0,0,0
"1034",2020-01-07,0,0,0
"1035",2020-01-08,0,0,0
"1036",2020-01-09,0,0,0
"1037",2020-01-10,0,0,0
"1038",2020-01-11,0,0,0
"1039",2020-01-12,0,0,0
"1040",2020-01-13,0,0,0
"1041",2020-01-14,0,0,0
"1042",2020-01-15,0,0,0
