"","day","nee","le","h"
"1",2017-02-01,0,0,0
"2",2017-02-02,0,0,0
"3",2017-02-03,0,0,0
"4",2017-02-04,0,0,0
"5",2017-02-05,0,0,0
"6",2017-02-06,0,0,0
"7",2017-02-07,0,0,0
"8",2017-02-08,0,0,0
"9",2017-02-09,0,0,0
"10",2017-02-10,0,0,0
"11",2017-02-11,0,0,0
"12",2017-02-12,0,0,0
"13",2017-02-13,0,0,0
"14",2017-02-14,0,0,0
"15",2017-02-15,0,0,0
"16",2017-02-16,0,0,0
"17",2017-02-17,0,0,0
"18",2017-02-18,0,0,0
"19",2017-02-19,0,0,0
"20",2017-02-20,0,0,0
"21",2017-02-21,0,0,0
"22",2017-02-22,0,0,0
"23",2017-02-23,0,0,0
"24",2017-02-26,0,0,0
"25",2017-02-27,0,0,0
"26",2017-02-28,0,0,0
"27",2017-03-01,0,0,0
"28",2017-03-02,0,0,0
"29",2017-03-03,0,0,0
"30",2017-03-04,0,0,0
"31",2017-03-05,0,0,0
"32",2017-03-06,0,0,0
"33",2017-03-07,0,0,0
"34",2017-03-08,0,0,0
"35",2017-03-09,0,0,0
"36",2017-03-10,0,0,0
"37",2017-03-11,0,0,0
"38",2017-03-12,0,0,0
"39",2017-03-13,0,0,0
"40",2017-03-14,0,0,0
"41",2017-03-15,0,0,0
"42",2017-03-16,0,0,0
"43",2017-03-17,0,0,0
"44",2017-03-18,0,0,0
"45",2017-03-19,0,0,0
"46",2017-03-20,0,0,0
"47",2017-03-21,0,0,0
"48",2017-03-22,0,0,0
"49",2017-03-23,0,0,0
"50",2017-03-24,0,0,0
"51",2017-03-25,0,0,0
"52",2017-03-26,0,0,0
"53",2017-03-27,0,0,0
"54",2017-03-28,0,0,0
"55",2017-03-29,0,0,0
"56",2017-03-30,0,0,0
"57",2017-03-31,0,0,0
"58",2017-04-01,0,0,0
"59",2017-04-02,0,0,0
"60",2017-04-03,0,0,0
"61",2017-04-04,0,0,0
"62",2017-04-05,0,0,0
"63",2017-04-06,0,0,0
"64",2017-04-07,0,0,0
"65",2017-04-08,0,0,0
"66",2017-04-09,0,0,0
"67",2017-04-10,0,0,-43.3860993102795
"68",2017-04-11,0,0,0
"69",2017-04-12,0,0,0
"70",2017-04-13,0,0,0
"71",2017-04-14,0,0,0
"72",2017-04-15,0,0,0
"73",2017-04-16,0,0,0
"74",2017-04-17,0,0,0
"75",2017-04-18,0,0,0
"76",2017-04-19,0,0,0
"77",2017-04-20,0,0,0
"78",2017-04-21,0,0,0
"79",2017-04-22,0,0,0
"80",2017-04-23,0,0,0
"81",2017-04-24,0,0,0
"82",2017-04-25,0,0,0
"83",2017-04-26,0,0,0
"84",2017-04-27,0,0,0
"85",2017-04-28,0,0,0
"86",2017-04-29,0,0,0
"87",2017-04-30,0,0,0
"88",2017-05-01,0,0,0
"89",2017-05-02,0,0,0
"90",2017-05-03,0,0,0
"91",2017-05-04,0,0,0
"92",2017-05-05,0,0,0
"93",2017-05-06,0,0,0
"94",2017-05-07,0,0,0
"95",2017-05-08,0,0,0
"96",2017-05-09,0,0,0
"97",2017-05-10,0,0,0
"98",2017-05-11,0,0,0
"99",2017-05-12,0,0,0
"100",2017-05-13,0,0,0
"101",2017-05-14,0,0,0
"102",2017-05-15,0,0,0
"103",2017-05-16,0,0,0
"104",2017-05-17,0,0,0
"105",2017-05-18,0,0,0
"106",2017-05-19,0,0,0
"107",2017-05-20,0,0,0
"108",2017-05-21,0,0,0
"109",2017-05-22,0,0,0
"110",2017-05-23,0,0,0
"111",2017-05-24,0,0,0
"112",2017-05-25,0,0,0
"113",2017-05-26,0,0,0
"114",2017-05-27,0,0,0
"115",2017-05-28,0,0,0
"116",2017-05-29,0,0,0
"117",2017-05-30,0,0,0
"118",2017-05-31,0,0,0
"119",2017-06-01,0,0,0
"120",2017-06-02,0,0,0
"121",2017-06-03,0,0,0
"122",2017-06-04,0,0,0
"123",2017-06-05,0,0,0
"124",2017-06-06,0,0,0
"125",2017-06-07,0,0,0
"126",2017-06-08,0,0,0
"127",2017-06-09,0,0,0
"128",2017-06-10,0,0,0
"129",2017-06-11,0,0,0
"130",2017-06-12,0,0,0
"131",2017-06-13,0,0,0
"132",2017-06-14,0,0,0
"133",2017-06-15,0,0,0
"134",2017-06-16,0,0,0
"135",2017-06-17,0,0,0
"136",2017-06-18,0,0,0
"137",2017-06-19,0,0,0
"138",2017-06-20,0,0,0
"139",2017-06-21,0,0,0
"140",2017-06-22,0,0,0
"141",2017-06-23,0,0,0
"142",2017-06-24,0,0,0
"143",2017-06-25,0,0,0
"144",2017-06-26,0,0,0
"145",2017-06-27,0,0,0
"146",2017-06-28,0,0,0
"147",2017-06-29,0,0,0
"148",2017-06-30,0,0,0
"149",2017-07-01,0,0,0
"150",2017-07-02,0,0,0
"151",2017-07-03,0,0,0
"152",2017-07-04,0,0,0
"153",2017-07-05,0,0,0
"154",2017-07-06,0,0,0
"155",2017-07-07,0,0,0
"156",2017-07-08,0,0,0
"157",2017-07-09,0,0,0
"158",2017-07-10,0,0,0
"159",2017-07-11,0,0,0
"160",2017-07-12,0,0,0
"161",2017-07-13,0,0,0
"162",2017-07-14,0,0,0
"163",2017-07-15,0,0,0
"164",2017-07-16,0,0,0
"165",2017-07-17,0,0,0
"166",2017-07-18,0,0,0
"167",2017-07-19,0,0,0
"168",2017-07-20,0,0,0
"169",2017-07-21,0,0,0
"170",2017-07-22,0,0,0
"171",2017-07-23,0,0,0
"172",2017-07-24,0,0,0
"173",2017-07-25,0,0,0
"174",2017-07-26,0,0,0
"175",2017-07-27,0,0,0
"176",2017-07-28,0,0,0
"177",2017-07-29,0,0,0
"178",2017-07-30,0,0,0
"179",2017-07-31,0,0,0
"180",2017-08-01,0,0,0
"181",2017-08-02,0,0,0
"182",2017-08-03,0,0,0
"183",2017-08-04,0,0,0
"184",2017-08-05,0,0,0
"185",2017-08-06,0,0,0
"186",2017-08-07,0,0,0
"187",2017-08-08,0,0,0
"188",2017-08-09,0,0,0
"189",2017-08-10,0,0,0
"190",2017-08-11,0,0,0
"191",2017-08-12,0,0,0
"192",2017-08-13,0,0,0
"193",2017-09-12,0,0,429.874819603196
"194",2017-09-13,-408.323772163984,0,347.311246154396
"195",2017-09-14,-32.7826753554482,689.512247615012,17.097474892219
"196",2017-09-15,-11.8394623379332,441.692719638126,136.403924337937
"197",2017-09-16,-20.5946515609561,558.151080192678,424.977584513972
"198",2017-09-17,-4.38516013233521,-73.9943631777878,443.365688768894
"199",2017-09-18,9.47796996425875,12.6151999999776,27.4121491083575
"200",2017-09-19,0.220228186438998,0,-2.66364153308919
"201",2017-09-20,-2.36380340563693,-31.0965413082698,-18.2150908457418
"202",2017-09-21,-24.4627568286265,351.702300683173,275.970208075809
"203",2017-09-22,-48.3503568100603,409.021146586224,333.313201492425
"204",2017-09-23,-18.6549762256062,394.413374417162,290.962481619125
"205",2017-09-24,-23.9405036329196,375.695034506328,261.998433312203
"206",2017-09-25,-33.6479298581879,0,248.485071002592
"207",2017-09-26,-23.6639410074621,18.2163548758177,323.077454966095
"208",2017-09-27,-0.929947426405456,-42.6922029426088,64.2259727740582
"209",2017-09-28,-15.385177057451,753.980690015421,-94.2466035664515
"210",2017-09-29,-70.5898155341611,2694.11399164101,2092.54365417131
"211",2017-09-30,-77.6336269635364,1571.40834193787,57.7946148665865
"212",2017-10-01,-106.459953231593,1623.52260401931,3266.6916422045
"213",2017-10-02,-40.979717332406,1662.50527603864,2750.95141545228
"214",2017-10-03,-116.215262906638,1605.79653370767,2412.69730197024
"215",2017-10-04,-112.806315423038,1894.66793542838,1872.2126376556
"216",2017-10-05,-78.7345773069302,2150.81733262306,718.937397144968
"217",2017-10-06,-72.4095045068693,1807.36556368391,1649.86822086571
"218",2017-10-07,-111.966671665902,2029.50962412045,1651.821653102
"219",2017-10-08,141.659590236421,46.2533936599424,-827.597158460989
"220",2017-10-09,96.7585364392238,0,-1260.9134183312
"221",2017-10-10,37.1102808347197,3.47417340932525,1108.37808610993
"222",2017-10-11,115.673218557453,0,-274.398588004181
"223",2017-10-12,129.140997592331,-49.5082164265198,-203.53853575278
"224",2017-10-13,44.2142864687225,189.195743352351,409.051624369363
"225",2017-10-14,8.20233907677204,893.410586048343,1380.40218996996
"226",2017-10-15,23.3422024707075,735.136353014029,1211.26351828421
"227",2017-10-16,41.6922110895732,1803.18107424232,278.845072050324
"228",2017-10-17,23.2038560975637,1944.28424206458,2212.41521489655
"229",2017-10-18,-99.965917364589,1978.03101362994,1969.08480606985
"230",2017-10-19,-106.267428162787,2368.6555910942,1644.646095879
"231",2017-10-20,-100.541745335014,1884.08141054975,1160.330123236
"232",2017-10-21,-135.832764695247,1696.94953382983,1571.42097788356
"233",2017-10-22,-150.684566555793,1978.05027492209,1581.21723648274
"234",2017-10-23,-0.0639261167844113,544.692939547586,-422.985006461297
"235",2017-10-24,58.9475600172874,1512.02617560294,402.229196098235
"236",2017-10-25,-22.1496343122711,1639.6087904722,1326.24208105959
"237",2017-10-26,10.4578968509256,1504.808851455,682.373484088288
"238",2017-10-27,-37.6709057894185,1325.6994979291,1526.34586197319
"239",2017-10-28,-58.4513374790776,1241.1731996372,202.731255239364
"240",2017-10-29,99.0979777226066,-617.068168128718,-202.599373542214
"241",2017-10-30,6.86727445924113,1562.0389157519,-129.424337392633
"242",2017-10-31,-48.8895430409672,1106.20612965013,1798.20257988333
"243",2017-11-01,16.0728698611014,431.850991613837,488.657927338665
"244",2017-11-02,0,0,0
"245",2017-11-03,-22.5342209022793,511.593963862479,-267.823481572374
"246",2017-11-04,3.18837172406796,160.536062178133,987.625996319726
"247",2017-11-05,23.3993971547667,243.885019503717,747.774868300537
"248",2017-11-06,40.1345333237943,390.031858564825,-424.752479330329
"249",2017-11-07,63.1604443602978,-188.315281277864,-472.387020684201
"250",2017-11-08,13.9438160033259,627.254499102028,846.590985601582
"251",2017-11-09,30.3287234330124,83.1731242215381,195.987991373333
"252",2017-11-10,2.10544447338315,868.85614177088,729.211681065964
"253",2017-11-11,42.3236340844916,576.503599845821,2299.791083344
"254",2017-11-12,13.1438108023725,382.504158653247,1556.53187967214
"255",2017-11-13,7.40597587284085,601.452422129795,1619.77345746697
"256",2017-11-14,24.059353522245,361.147526434802,479.705751468581
"257",2017-11-15,21.9368461413993,476.449019390297,2049.71482782984
"258",2017-11-16,24.6125901376594,593.956704957934,1051.54080528611
"259",2017-11-17,25.9825230485343,531.932447285943,802.197541234144
"260",2017-11-18,-19.4023967652867,401.721256626338,252.585929847852
"261",2017-11-19,51.3923168811764,344.592115063558,-681.935593301482
"262",2017-11-20,18.2639605380135,564.903826341583,1299.70807273729
"263",2017-11-21,7.1081610883867,828.288502920148,677.340341649415
"264",2017-11-22,-50.6560943981486,406.863290913534,1379.29811995558
"265",2017-11-23,31.0146037782722,423.272999761274,1681.34089978059
"266",2017-11-24,-41.4968803644394,426.312922724277,2071.58161260606
"267",2017-11-25,-68.2999355270137,504.648645838833,1319.28487639169
"268",2017-11-26,27.9677529817308,558.979343779201,295.972552905176
"269",2017-11-27,28.1169751987652,646.034888353773,930.7991887397
"270",2017-11-28,0.332280960425754,-20.9799031476624,-126.85449647061
"271",2017-11-29,29.4861163538289,665.530241895138,653.367928223294
"272",2017-11-30,-24.2041446030814,407.248122487379,1123.07166352287
"273",2017-12-01,19.612638224741,145.943539206599,786.425529015802
"274",2017-12-02,-47.4977901188704,232.056668222215,1059.41060046029
"275",2017-12-03,17.329908053532,275.668614380263,1220.45491519933
"276",2017-12-04,-42.7670086831088,527.945584268998,1261.30536769027
"277",2017-12-05,63.3463007268167,262.482798876228,-919.16858683514
"278",2017-12-06,36.2854210986122,653.47166236955,144.537901061922
"279",2017-12-07,23.3962949381438,460.403977295709,529.335480933836
"280",2017-12-08,31.9597964200062,315.619887914089,-39.4715530951529
"281",2017-12-09,26.9292086417021,65.4043263765469,264.291516880873
"282",2017-12-10,19.9122992052056,299.454312446472,-83.0431614395758
"283",2017-12-11,10.6245934004108,355.592300902507,1308.88502827175
"284",2017-12-12,28.4394932667971,213.89082167256,-724.962594883737
"285",2017-12-13,27.5635304872039,563.055974380002,1108.43245229377
"286",2017-12-14,14.4869273205817,258.971950705214,522.02528873554
"287",2017-12-15,21.1199048143908,101.269569981263,107.462852066788
"288",2017-12-16,8.57765199108808,271.917991141332,1132.05126665267
"289",2017-12-17,-13.7788947914913,77.1655516612384,562.124599296822
"290",2017-12-18,13.3270181139352,154.616868595961,1303.23843593863
"291",2017-12-19,-26.8204712549408,158.580682438571,1414.45096241765
"292",2017-12-20,-3.29712684117971,265.450064582256,-512.274207202442
"293",2017-12-21,-21.4052539957926,227.545737164007,1991.03933290282
"294",2017-12-22,2.44937174678064,439.086430967325,-148.229163929959
"295",2017-12-23,59.4427164122066,269.417891485708,-730.170204895643
"296",2017-12-24,45.63316256079,444.648299322489,-240.837761227698
"297",2017-12-25,38.2767686536237,680.874373466912,1216.15654628068
"298",2017-12-26,28.2823506511922,457.40741833545,836.570496869729
"299",2017-12-27,26.0448479759519,282.937321194425,976.395683291285
"300",2017-12-28,26.5796122451335,337.908148360753,1747.19590818226
"301",2017-12-29,2.13569305053702,243.626611112242,1584.43692797048
"302",2017-12-30,40.1451000001644,299.959948038219,1060.19526854181
"303",2017-12-31,20.8827806399167,263.307540945841,176.247328675646
"304",2018-01-01,17.9037767217948,241.130826816488,1124.63684972564
"305",2018-01-02,15.1510324968526,288.849936056722,1816.50539796329
"306",2018-01-03,10.2537309302784,246.30494184548,1772.95789366672
"307",2018-01-04,16.458755548972,326.16280846018,1040.64337970973
"308",2018-01-05,18.7906388793045,325.688214156449,1472.94761536351
"309",2018-01-06,15.5606366960392,216.764942687481,1369.93095597487
"310",2018-01-07,3.14387030196549,182.928136551947,2252.6383372355
"311",2018-01-08,17.8848135284385,337.454537326355,247.111889028986
"312",2018-01-09,13.9234733644994,80.1420591863644,227.526576655705
"313",2018-01-10,21.1861923432432,167.521096704953,1122.73733730482
"314",2018-01-11,19.1748335527987,123.743926301906,990.579665857768
"315",2018-01-12,30.2342876961368,-204.04925397801,-812.46785341571
"316",2018-01-13,105.953079031564,-205.376435833289,1741.30423888749
"317",2018-01-14,-0.17961093513139,-0.562796857493375,-16.878621668887
"318",2018-01-15,1.41808821616386,263.840658882627,2418.69065206266
"319",2018-01-16,23.3907791167187,134.373691085433,786.156856857416
"320",2018-01-17,19.9002036234464,170.49580363984,1416.11903418127
"321",2018-01-18,16.3635165626492,303.797375317699,2017.41304814574
"322",2018-01-19,-11.1694829770115,326.255343651452,1446.77408699554
"323",2018-01-20,9.07100622719113,277.529864287153,1948.65058967747
"324",2018-01-21,-25.3534113181744,182.101130484535,1378.4651623269
